Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,79.683,4.4,-,2023-07-20
CAP_SON_MAI_00004,0.217,0.0,-,2023-07-20
CAP_SON_MAI_00004,175.867,10.03,-,2023-07-19
CAP_SON_MAI_00004,173.383,10.18,-,2023-07-17
CAP_SON_MAI_00004,91.65,4.95,-,2023-07-14
CAP_SON_MAI_00004,174.567,9.93,-,2023-07-13
CAP_SON_MAI_00004,177.467,10.14,-,2023-07-12
CAP_SON_MAI_00004,181.45,10.45,-,2023-07-10
CAP_SON_MAI_00004,21.833,2.94,-,2023-07-10
CAP_SON_MAI_00004,136.8,7.9,-,2023-07-04
CAP_SON_MAI_00001,120.217,3.75,-,2023-06-30
CAP_SON_MAI_00001,279.467,8.9,-,2023-06-30
CAP_SON_MAI_00004,109.867,6.27,-,2023-06-29
CAP_SON_MAI_00001,382.267,3.2,-,2023-06-28
CAP_SON_MAI_00004,174.317,10.22,-,2023-06-27
CAP_SON_MAI_00010,277.6,4.96,-,2023-06-16
CAP_SON_MAI_00001,216.933,9.46,-,2023-06-15
CAP_SON_MAI_00004,185.033,10.31,-,2023-06-13
CAP_SON_MAI_00004,0.217,0.0,-,2023-06-13
CAP_SON_MAI_00004,0.35,0.0,-,2023-06-13
CAP_SON_MAI_00004,171.9,9.98,-,2023-06-05
CAP_SON_MAI_00004,176.75,10.21,-,2023-06-02
CAP_SON_MAI_00004,97.583,5.3,-,2023-05-30
CAP_SON_MAI_00004,179.417,10.13,-,2023-05-29
CAP_SON_MAI_00004,172.167,10.01,-,2023-05-25
CAP_SON_MAI_00004,174.0,10.21,-,2023-05-22
CAP_SON_MAI_00004,13.267,0.46,-,2023-05-19
CAP_SON_MAI_00004,190.767,10.58,-,2023-05-15
CAP_SON_MAI_00002,0.433,0.15,-,2023-05-11
CAP_SON_MAI_00001,36.85,4.26,-,2023-05-10
CAP_SON_MAI_00002,0.25,0.05,-,2023-05-10
CAP_SON_MAI_00004,152.883,18.3,-,2023-05-09
CAP_SON_MAI_00004,3.533,0.19,-,2023-05-09
CAP_SON_MAI_00010,195.8,12.24,-,2023-05-08
CAP_SON_MAI_00010,0.583,0.0,-,2023-05-08
CAP_SON_MAI_00001,507.4,10.22,-,2023-05-08
CAP_SON_MAI_00001,326.167,6.86,-,2023-05-05
CAP_SON_MAI_00001,215.183,4.98,-,2023-05-02
CAP_SON_MAI_00001,257.533,10.27,-,2023-05-02
CAP_SON_MAI_00004,181.433,10.29,-,2023-04-27
CAP_SON_MAI_00001,519.6,10.25,-,2023-04-20
CAP_SON_MAI_00010,0.4,0.0,-,2023-04-05
CAP_SON_MAI_00010,0.417,0.0,-,2023-04-05
CAP_SON_MAI_00010,0.417,0.0,-,2023-04-05
CAP_SON_MAI_00010,269.2,8.07,-,2023-04-05
CAP_SON_MAI_00004,148.267,8.179,-,2023-04-04
CAP_SON_MAI_00010,240.133,11.81,-,2023-04-04
CAP_SON_MAI_00004,0.433,0.0,-,2023-04-03
CAP_SON_MAI_00010,300.117,9.68,-,2023-03-30
CAP_SON_MAI_00001,213.733,5.07,-,2023-03-28
CAP_SON_MAI_00001,206.967,10.41,-,2023-03-28
CAP_SON_MAI_00002,63.7,61.02,-,2023-03-13
CAP_SON_MAI_00002,86.167,51.14,-,2023-02-17
CAP_SON_MAI_00004,61.533,11.23,-,2023-02-17
CAP_SON_MAI_00010,131.05,16.46,-,2023-02-17
CAP_SON_MAI_00004,63.567,7.59,-,2023-02-10
CAP_SON_MAI_00004,71.967,8.45,-,2023-02-08
CAP_SON_MAI_00010,262.783,10.57,-,2023-02-07
CAP_SON_MAI_00010,250.2,32.24,-,2023-02-07
CAP_SON_MAI_00004,91.467,10.41,-,2023-02-06
CAP_SON_MAI_00001,260.867,8.75,-,2023-02-03
CAP_SON_MAI_00004,0.65,0.0,-,2023-02-02
CAP_SON_MAI_00004,91.317,10.51,-,2023-02-02
CAP_SON_MAI_00001,294.617,9.22,-,2023-02-01
