Charging Station,Duration (min),Total Energy (kWh),Nº cartão EVIO,date
CAP_SON_MAI_00004,160.4,9.21,4,2024-02-26
CAP_SON_MAI_00004,168.95,9.74,4,2024-02-12
CAP_SON_MAI_00004,95.2,5.15,4,2024-02-02
CAP_SON_MAI_00004,169.45,9.74,4,2024-01-29
CAP_SON_MAI_00004,162.017,9.3,4,2024-01-25
CAP_SON_MAI_00004,163.35,9.35,4,2024-01-22
CAP_SON_MAI_00010,214.55,9.73,4,2024-01-15
CAP_SON_MAI_00004,160.017,9.2,4,2024-01-09
CAP_SON_MAI_00004,172.3,9.79,4,2024-01-08
CAP_SON_MAI_00004,150.733,8.67,4,2024-01-04
CAP_SON_MAI_00010,320.983,10.23,4,2024-01-03
CAP_SON_MAI_00004,170.717,9.77,4,2023-12-22
CAP_SON_MAI_00004,143.933,8.25,4,2023-12-21
CAP_SON_MAI_00004,169.017,9.69,4,2023-12-20
CAP_SON_MAI_00004,169.633,9.61,4,2023-12-18
CAP_SON_MAI_00004,166.583,9.65,4,2023-12-15
CAP_SON_MAI_00003,722.967,8.587,4,2023-12-13
CAP_SON_MAI_00003,324.083,5.914,4,2023-12-12
CAP_SON_MAI_00003,617.3,10.134,4,2023-12-11
CAP_SON_MAI_00003,585.35,9.537,4,2023-12-04
CAP_SON_MAI_00004,171.183,9.97,4,2023-11-30
CAP_SON_MAI_00004,146.083,8.24,4,2023-11-24
CAP_SON_MAI_00004,165.733,9.62,4,2023-11-23
CAP_SON_MAI_00003,322.75,8.864,4,2023-11-21
CAP_SON_MAI_00004,166.867,9.65,4,2023-11-20
CAP_SON_MAI_00004,172.9,10.04,4,2023-11-17
CAP_SON_MAI_00004,164.75,9.49,4,2023-11-16
CAP_SON_MAI_00003,221.783,9.768,4,2023-11-13
CAP_SON_MAI_00010,266.583,6.07,4,2023-11-10
CAP_SON_MAI_00003,322.65,10.491,4,2023-11-09
CAP_SON_MAI_00010,175.133,7.1,4,2023-11-08
CAP_SON_MAI_00004,166.1,9.38,4,2023-11-06
CAP_SON_MAI_00004,169.867,9.64,4,2023-10-31
CAP_SON_MAI_00003,307.033,7.472,4,2023-10-30
CAP_SON_MAI_00003,332.967,9.639,4,2023-10-26
CAP_SON_MAI_00003,303.617,9.347,4,2023-10-19
CAP_SON_MAI_00004,150.383,8.57,4,2023-10-18
CAP_SON_MAI_00003,245.617,9.679,4,2023-10-17
CAP_SON_MAI_00003,214.717,9.651,4,2023-10-16
CAP_SON_MAI_00004,138.683,7.89,4,2023-10-13
CAP_SON_MAI_00003,352.467,9.917,4,2023-10-12
CAP_SON_MAI_00004,122.383,6.9,4,2023-10-10
CAP_SON_MAI_00010,181.917,10.17,4,2023-10-09
CAP_SON_MAI_00004,171.433,9.97,4,2023-10-06
CAP_SON_MAI_00003,109.467,6.749,4,2023-10-02
CAP_SON_MAI_00004,154.017,8.7,4,2023-09-27
CAP_SON_MAI_00003,319.033,5.976,4,2023-09-26
CAP_SON_MAI_00004,164.233,9.47,4,2023-09-25
CAP_SON_MAI_00004,174.483,10.01,4,2023-09-21
CAP_SON_MAI_00004,162.617,9.32,4,2023-09-18
CAP_SON_MAI_00003,227.7,7.953,4,2023-09-14
CAP_SON_MAI_00003,361.15,7.742,4,2023-09-13
CAP_SON_MAI_00003,273.35,9.922,4,2023-09-12
CAP_SON_MAI_00010,235.283,9.61,4,2023-09-11
CAP_SON_MAI_00010,0.083,0.0,4,2023-09-11
CAP_SON_MAI_00004,174.883,10.2,4,2023-09-08
CAP_SON_MAI_00004,148.167,8.5,4,2023-09-07
CAP_SON_MAI_00004,36.15,1.62,4,2023-09-06
CAP_SON_MAI_00004,78.033,4.8,4,2023-09-06
CAP_SON_MAI_00004,164.433,9.5,4,2023-09-05
CAP_SON_MAI_00001,267.633,11.54,4,2023-09-01
CAP_SON_MAI_00003,313.433,10.117,4,2023-09-01
CAP_SON_MAI_00003,1.367,0.043,4,2023-09-01
CAP_SON_MAI_00003,189.183,9.815,4,2023-08-31
CAP_SON_MAI_00004,136.367,7.77,4,2023-08-28
CAP_SON_MAI_00004,163.533,9.68,4,2023-07-31
CAP_SON_MAI_00003,337.1,10.004,4,2023-07-14
CAP_SON_MAI_00004,173.617,10.06,4,2023-07-07
CAP_SON_MAI_00004,149.683,8.66,4,2023-07-04
CAP_SON_MAI_00003,308.617,9.886,4,2023-07-03
CAP_SON_MAI_00003,207.567,10.219,4,2023-06-30
