date;Charging Station;Duration (min);Total Energy (kWh);Nº cartão EVIO;Plus;Temp
2023-02-01;CAP_SON_MAI_00004;1.017;0.04;29;0.0;9.0
2023-02-01;CAP_SON_MAI_00010;225.967;12.61;87;0.0;9.0
2023-02-01;CAP_SON_MAI_00003;211.817;11.955;50;0.0;9.0
2023-02-01;CAP_SON_MAI_00004;232.767;41.44;29;0.0;9.0
2023-02-01;CAP_SON_MAI_00004;162.833;8.99;76;0.0;9.0
2023-02-01;CAP_SON_MAI_00001;294.617;9.22;-;0.0;9.0
2023-02-02;CAP_SON_MAI_00003;0.0;0.0;46;0.0;10.25
2023-02-02;CAP_SON_MAI_00004;91.317;10.51;-;0.0;10.25
2023-02-02;CAP_SON_MAI_00004;0.65;0.0;-;0.0;10.25
2023-02-02;CAP_SON_MAI_00004;156.8;9.53;76;0.0;10.25
2023-02-03;CAP_SON_MAI_00004;143.1;23.82;29;0.0;10.5
2023-02-03;CAP_SON_MAI_00004;205.2;11.5;76;0.0;10.5
2023-02-03;CAP_SON_MAI_00001;362.567;10.31;35;0.0;10.5
2023-02-03;CAP_SON_MAI_00001;260.867;8.75;-;0.0;10.5
2023-02-03;CAP_SON_MAI_00003;306.3;12.914;50;0.0;10.5
2023-02-06;CAP_SON_MAI_00003;280.0;12.633;50;0.0;11.25
2023-02-06;CAP_SON_MAI_00004;91.467;10.41;-;0.0;11.25
2023-02-06;CAP_SON_MAI_00001;699.233;26.7;1;0.0;11.25
2023-02-06;CAP_SON_MAI_00004;96.55;11.0;76;0.0;11.25
2023-02-06;CAP_SON_MAI_00004;0.15;0.0;30;0.0;11.25
2023-02-06;CAP_SON_MAI_00004;0.217;0.0;30;0.0;11.25
2023-02-06;CAP_SON_MAI_00004;0.15;0.0;30;0.0;11.25
2023-02-06;CAP_SON_MAI_00003;310.733;12.451;5;0.0;11.25
2023-02-06;CAP_SON_MAI_00010;634.417;11.68;76;0.0;11.25
2023-02-07;CAP_SON_MAI_00003;579.533;12.794;51;0.0;10.0
2023-02-07;CAP_SON_MAI_00003;685.583;10.821;5;0.0;10.0
2023-02-07;CAP_SON_MAI_00010;250.2;32.24;-;0.0;10.0
2023-02-07;CAP_SON_MAI_00004;145.167;7.86;76;0.0;10.0
2023-02-07;CAP_SON_MAI_00010;262.783;10.57;-;0.0;10.0
2023-02-08;CAP_SON_MAI_00001;571.833;12.52;55;0.0;10.5
2023-02-08;CAP_SON_MAI_00004;122.35;7.05;87;0.0;10.5
2023-02-08;CAP_SON_MAI_00010;397.35;10.68;35;0.0;10.5
2023-02-08;CAP_SON_MAI_00004;160.6;8.86;76;0.0;10.5
2023-02-08;CAP_SON_MAI_00004;71.967;8.45;-;0.0;10.5
2023-02-09;CAP_SON_MAI_00010;638.25;12.39;55;0.0;11.5
2023-02-09;CAP_SON_MAI_00003;223.617;12.831;5;0.0;11.5
2023-02-10;CAP_SON_MAI_00004;188.333;10.57;76;0.0;10.25
2023-02-10;CAP_SON_MAI_00001;581.35;9.3;55;0.0;10.25
2023-02-10;CAP_SON_MAI_00004;63.567;7.59;-;0.0;10.25
2023-02-10;CAP_SON_MAI_00004;8.083;0.85;46;0.0;10.25
2023-02-10;CAP_SON_MAI_00003;238.9;12.696;50;0.0;10.25
2023-02-13;CAP_SON_MAI_00004;108.7;12.36;87;0.0;13.0
2023-02-13;CAP_SON_MAI_00003;580.0;9.111;51;0.0;13.0
2023-02-13;CAP_SON_MAI_00010;0.083;0.0;1;0.0;13.0
2023-02-13;CAP_SON_MAI_00003;2.117;0.077;51;0.0;13.0
2023-02-13;CAP_SON_MAI_00010;268.833;46.69;29;0.0;13.0
2023-02-13;CAP_SON_MAI_00010;0.217;0.0;29;0.0;13.0
2023-02-13;CAP_SON_MAI_00003;0.933;0.026;51;0.0;13.0
2023-02-14;CAP_SON_MAI_00004;63.267;7.43;1;0.0;13.75
2023-02-14;CAP_SON_MAI_00010;67.467;3.9;50;0.0;13.75
2023-02-14;CAP_SON_MAI_00010;0.1;0.0;50;0.0;13.75
2023-02-14;CAP_SON_MAI_00004;173.15;9.85;4;0.0;13.75
2023-02-14;CAP_SON_MAI_00010;0.083;0.0;50;0.0;13.75
2023-02-14;CAP_SON_MAI_00003;331.383;12.403;55;0.0;13.75
2023-02-14;CAP_SON_MAI_00010;254.583;7.49;76;0.0;13.75
2023-02-14;CAP_SON_MAI_00001;440.783;25.51;1;0.0;13.75
2023-02-14;CAP_SON_MAI_00003;613.733;4.05;51;0.0;13.75
2023-02-14;CAP_SON_MAI_00004;79.867;9.32;46;0.0;13.75
2023-02-14;CAP_SON_MAI_00003;250.7;10.811;29;0.0;13.75
2023-02-14;CAP_SON_MAI_00010;260.083;4.78;46;0.0;13.75
2023-02-15;CAP_SON_MAI_00010;336.067;42.31;29;0.0;14.0
2023-02-15;CAP_SON_MAI_00001;583.55;8.9;55;0.0;14.0
2023-02-15;CAP_SON_MAI_00010;655.283;9.94;76;0.0;14.0
2023-02-15;CAP_SON_MAI_00004;183.6;10.47;35;0.0;14.0
2023-02-15;CAP_SON_MAI_00003;382.233;9.536;1;0.0;14.0
2023-02-16;CAP_SON_MAI_00010;634.233;12.41;55;0.0;14.0
2023-02-16;CAP_SON_MAI_00004;186.917;10.54;35;0.0;14.0
2023-02-16;CAP_SON_MAI_00003;564.35;8.446;51;0.0;14.0
2023-02-17;CAP_SON_MAI_00004;180.733;10.49;35;0.0;14.5
2023-02-17;CAP_SON_MAI_00010;131.05;16.46;-;0.0;14.5
2023-02-17;CAP_SON_MAI_00001;256.0;9.81;55;0.0;14.5
2023-02-17;CAP_SON_MAI_00010;0.4;0.0;76;0.0;14.5
2023-02-17;CAP_SON_MAI_00010;276.633;4.86;55;0.0;14.5
2023-02-17;CAP_SON_MAI_00004;61.533;11.23;-;0.0;14.5
