Date;Plus;
06.06.2022;0,00;
07.06.2022;0,00;
08.06.2022;0,05;
09.06.2022;0,00;
10.06.2022;0,00;
11.06.2022;0,00;
12.06.2022;0,03;
13.06.2022;0,00;
14.06.2022;0,00;
15.06.2022;0,00;
16.06.2022;0,03;
17.06.2022;0,08;
18.06.2022;0,03;
19.06.2022;0,23;
20.06.2022;0,00;
21.06.2022;0,28;
22.06.2022;0,28;
23.06.2022;0,28;
24.06.2022;0,03;
25.06.2022;0,00;
26.06.2022;0,00;
27.06.2022;0,00;
28.06.2022;0,00;
29.06.2022;0,00;
30.06.2022;0,00;
01.07.2022;0,00;
02.07.2022;0,00;
03.07.2022;0,03;
04.07.2022;0,30;
05.07.2022;0,00;
06.07.2022;0,00;
07.07.2022;0,00;
08.07.2022;0,00;
09.07.2022;0,00;
10.07.2022;0,00;
11.07.2022;0,00;
12.07.2022;0,00;
13.07.2022;0,00;
14.07.2022;0,00;
15.07.2022;0,00;
16.07.2022;0,00;
17.07.2022;0,00;
18.07.2022;0,00;
19.07.2022;0,05;
20.07.2022;0,00;
21.07.2022;0,00;
22.07.2022;0,00;
23.07.2022;0,00;
24.07.2022;0,00;
25.07.2022;0,00;
26.07.2022;0,00;
27.07.2022;0,00;
28.07.2022;0,00;
29.07.2022;0,00;
30.07.2022;0,00;
31.07.2022;0,00;
01.08.2022;0,00;
02.08.2022;0,00;
03.08.2022;0,00;
04.08.2022;0,00;
05.08.2022;0,00;
06.08.2022;0,00;
07.08.2022;0,00;
08.08.2022;0,00;
09.08.2022;0,00;
10.08.2022;0,20;
11.08.2022;0,03;
12.08.2022;0,00;
13.08.2022;0,00;
14.08.2022;0,00;
15.08.2022;0,00;
16.08.2022;0,08;
17.08.2022;0,03;
18.08.2022;0,00;
19.08.2022;0,00;
20.08.2022;0,03;
21.08.2022;0,00;
22.08.2022;0,00;
23.08.2022;0,00;
24.08.2022;0,03;
25.08.2022;0,00;
26.08.2022;0,00;
27.08.2022;0,00;
28.08.2022;0,00;
29.08.2022;0,00;
30.08.2022;0,00;
31.08.2022;0,00;
01.09.2022;0,00;
02.09.2022;0,00;
03.09.2022;0,00;
04.09.2022;0,00;
05.09.2022;0,08;
06.09.2022;0,15;
07.09.2022;0,15;
08.09.2022;0,08;
09.09.2022;0,00;
10.09.2022;0,00;
11.09.2022;0,00;
12.09.2022;0,33;
13.09.2022;0,45;
14.09.2022;0,33;
15.09.2022;0,65;
16.09.2022;0,00;
17.09.2022;0,00;
18.09.2022;0,00;
19.09.2022;0,00;
20.09.2022;0,00;
21.09.2022;0,00;
22.09.2022;0,00;
23.09.2022;0,00;
24.09.2022;0,00;
25.09.2022;0,00;
26.09.2022;0,00;
27.09.2022;0,00;
28.09.2022;0,00;
29.09.2022;0,03;
30.09.2022;0,00;
01.10.2022;0,00;
02.10.2022;0,00;
03.10.2022;0,00;
04.10.2022;0,00;
05.10.2022;0,00;
06.10.2022;0,00;
07.10.2022;0,00;
08.10.2022;0,00;
09.10.2022;0,00;
10.10.2022;0,13;
11.10.2022;0,00;
12.10.2022;0,00;
13.10.2022;0,00;
14.10.2022;0,00;
15.10.2022;0,00;
16.10.2022;0,05;
17.10.2022;0,05;
18.10.2022;0,10;
19.10.2022;0,73;
20.10.2022;0,73;
21.10.2022;0,48;
22.10.2022;0,25;
23.10.2022;1,18;
24.10.2022;0,35;
25.10.2022;0,30;
26.10.2022;0,58;
27.10.2022;0,20;
28.10.2022;2,13;
29.10.2022;1,00;
30.10.2022;0,20;
31.10.2022;0,25;
01.11.2022;0,00;
02.11.2022;0,00;
03.11.2022;0,50;
04.11.2022;0,00;
05.11.2022;0,00;
06.11.2022;0,05;
07.11.2022;0,08;
08.11.2022;1,18;
09.11.2022;0,53;
10.11.2022;0,00;
11.11.2022;0,00;
12.11.2022;0,00;
13.11.2022;0,08;
14.11.2022;0,03;
15.11.2022;0,35;
16.11.2022;0,48;
17.11.2022;0,15;
18.11.2022;0,13;
19.11.2022;0,05;
20.11.2022;0,13;
21.11.2022;0,23;
22.11.2022;0,25;
23.11.2022;0,05;
24.11.2022;1,05;
25.11.2022;0,00;
26.11.2022;0,00;
27.11.2022;0,15;
28.11.2022;0,00;
29.11.2022;0,00;
30.11.2022;0,03;
01.12.2022;0,00;
02.12.2022;0,00;
03.12.2022;0,00;
04.12.2022;0,05;
05.12.2022;0,00;
06.12.2022;0,00;
07.12.2022;0,03;
08.12.2022;0,35;
09.12.2022;0,23;
10.12.2022;0,00;
11.12.2022;0,20;
12.12.2022;0,30;
13.12.2022;0,35;
14.12.2022;0,20;
15.12.2022;0,18;
16.12.2022;0,30;
17.12.2022;0,00;
18.12.2022;0,00;
19.12.2022;0,30;
20.12.2022;0,53;
21.12.2022;0,15;
22.12.2022;0,10;
23.12.2022;0,00;
24.12.2022;0,03;
25.12.2022;0,20;
26.12.2022;0,25;
27.12.2022;0,03;
28.12.2022;0,10;
29.12.2022;0,40;
30.12.2022;0,18;
31.12.2022;0,03;
01.01.2023;0,78;
02.01.2023;0,00;
03.01.2023;0,00;
04.01.2023;0,00;
05.01.2023;0,00;
06.01.2023;0,00;
07.01.2023;0,40;
08.01.2023;0,13;
09.01.2023;0,00;
10.01.2023;0,00;
11.01.2023;0,00;
12.01.2023;0,00;
13.01.2023;0,00;
14.01.2023;0,00;
15.01.2023;0,05;
17.01.2023;0,05;
18.01.2023;0,20;
19.01.2023;0,10;
20.01.2023;0,03;
21.01.2023;0,00;
22.01.2023;0,00;
23.01.2023;0,00;
24.01.2023;0,00;
25.01.2023;0,00;
26.01.2023;0,00;
27.01.2023;0,00;
28.01.2023;0,00;
29.01.2023;0,00;
30.01.2023;0,00;
31.01.2023;0,00;
01.02.2023;0,00;
02.02.2023;0,00;
03.02.2023;0,00;
04.02.2023;0,00;
05.02.2023;0,00;
06.02.2023;0,00;
07.02.2023;0,00;
08.02.2023;0,00;
09.02.2023;0,00;
10.02.2023;0,00;
11.02.2023;0,00;
12.02.2023;0,00;
13.02.2023;0,00;
14.02.2023;0,00;
15.02.2023;0,00;
