date,Duration (min),Total Energy (kWh),Nº cartão EVIO,Plus,Temp
2023-02-07,579.533,12.794,51.0,0.0,10.0
2023-02-08,0.0,0.0,0.0,0.0,10.5
2023-02-09,0.0,0.0,0.0,0.0,11.5
2023-02-10,0.0,0.0,0.0,0.0,10.25
2023-02-11,0.0,0.0,0.0,0.0,9.75
2023-02-12,0.0,0.0,0.0,0.0,10.25
2023-02-13,583.05,9.214,153.0,0.0,39.0
2023-02-14,613.733,4.05,51.0,0.0,13.75
2023-02-15,0.0,0.0,0.0,0.0,14.0
2023-02-16,564.35,8.446,51.0,0.0,14.0
2023-02-17,0.0,0.0,0.0,0.0,14.5
2023-02-18,0.0,0.0,0.0,0.0,13.75
2023-02-19,0.0,0.0,0.0,0.0,15.5
2023-02-20,0.0,0.0,0.0,0.0,14.5
2023-02-21,0.0,0.0,0.0,0.025,13.0
2023-02-22,0.0,0.0,0.0,0.0,12.5
2023-02-23,0.0,0.0,0.0,0.0,9.25
2023-02-24,0.0,0.0,0.0,0.0,7.75
2023-02-25,0.0,0.0,0.0,0.05,8.25
2023-02-26,0.0,0.0,0.0,0.0,10.75
2023-02-27,0.0,0.0,0.0,0.0,9.5
2023-02-28,0.0,0.0,0.0,0.0,8.75
2023-03-01,0.0,0.0,0.0,0.0,7.75
2023-03-02,405.233,12.74,51.0,0.0,8.5
2023-03-03,0.0,0.0,0.0,0.0,9.25
2023-03-04,0.0,0.0,0.0,0.0,10.5
2023-03-05,0.0,0.0,0.0,0.125,10.25
2023-03-06,0.0,0.0,0.0,0.07500000000000001,12.0
2023-03-07,0.0,0.0,0.0,0.025,13.5
2023-03-08,0.0,0.0,0.0,0.15,14.25
2023-03-09,0.0,0.0,0.0,0.2,14.0
2023-03-10,0.0,0.0,0.0,0.0,14.0
2023-03-11,0.0,0.0,0.0,0.0,14.75
2023-03-12,0.0,0.0,0.0,0.0,14.75
2023-03-13,621.867,12.79,51.0,0.1,13.5
2023-03-14,0.0,0.0,0.0,0.0,13.0
2023-03-15,0.0,0.0,0.0,0.0,13.0
2023-03-16,0.0,0.0,0.0,0.2,13.5
2023-03-17,552.3000000000001,8.899999999999999,102.0,0.4,26.0
2023-03-18,0.0,0.0,0.0,0.125,12.75
2023-03-19,0.0,0.0,0.0,0.0,12.5
2023-03-20,599.383,12.33,51.0,0.0,13.5
2023-03-21,0.0,0.0,0.0,0.0,13.75
2023-03-22,0.0,0.0,0.0,0.0,12.75
2023-03-23,559.0,12.83,51.0,0.0,13.5
2023-03-24,0.0,0.0,0.0,0.025,14.25
2023-03-25,0.0,0.0,0.0,0.0,12.75
2023-03-26,0.0,0.0,0.0,0.0,13.25
