Start date,Stop date,Duration (min),Total Energy (kWh),Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Last
2023-04-26 08:32:00,2023-04-26 13:19:00,"287,367",53.18,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.32
2023-04-20 08:42:00,2023-04-20 13:29:00,"286,133",53.17,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0
2023-04-19 13:42:00,2023-04-19 15:24:00,"101,333",17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,53.17
2023-04-18 08:34:00,2023-04-18 10:55:00,"140,85",26.26,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.95
2023-04-17 19:41:00,2023-04-17 19:56:00,"15,2",17.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.26
2023-04-11 08:07:00,2023-04-11 13:10:00,"303,083",49.16,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,17.35
2023-04-05 08:31:00,2023-04-05 19:38:00,"666,9",48.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,49.16
2023-03-29 18:58:00,2023-03-29 19:23:00,"25,367",8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,48.0
2023-03-29 14:45:00,2023-03-29 18:57:00,"251,567",46.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,8.0
2023-03-27 20:15:00,2023-03-27 20:35:00,"19,783",21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46.07
2023-03-25 08:54:00,2023-03-25 09:02:00,"8,15",3.65,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42
2023-03-25 08:24:00,2023-03-25 08:53:00,"29,35",44.63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65
2023-03-20 13:23:00,2023-03-20 14:22:00,"58,817",9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,44.63
2023-03-20 10:41:00,2023-03-20 11:14:00,"32,433",44.21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.64
2023-03-17 08:13:00,2023-03-17 12:17:00,"243,683",43.61,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,44.21
2023-03-15 13:53:00,2023-03-15 20:04:00,"371,467",23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,43.61
2023-03-14 08:50:00,2023-03-14 13:58:00,"307,767",7.85,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,23.8
2023-03-09 19:46:00,2023-03-09 20:15:00,"28,267",34.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.85
2023-03-09 08:36:00,2023-03-09 11:09:00,"153,083",26.52,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34.96
2023-03-09 08:24:00,2023-03-09 08:35:00,"10,533",15.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52
2023-03-08 13:14:00,2023-03-08 14:01:00,"47,533",35.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1
2023-02-28 09:19:00,2023-02-28 10:07:00,"47,867",48.04,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-02-15 13:53:00,2023-02-15 19:29:00,"336,067",42.31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,48.04
2023-02-14 08:38:00,2023-02-14 12:48:00,"250,7",10.811,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,42.31
2023-02-13 08:31:00,2023-02-13 12:59:00,"268,833",46.69,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10.811
2023-02-03 08:08:00,2023-02-03 10:31:00,"143,1",23.82,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2023-02-01 08:50:00,2023-02-01 12:42:00,"232,767",41.44,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,23.82
2023-01-30 08:23:00,2023-01-30 11:21:00,"178,533",31.92,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04
2023-01-24 08:37:00,2023-01-24 18:52:00,"468,267",55.51,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,31.92
2023-01-13 13:49:00,2023-01-13 15:16:00,"87,15",6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,55.51
2023-01-11 08:57:00,2023-01-11 17:37:00,"520,333",42.08,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6.63
2023-01-10 08:18:00,2023-01-10 11:24:00,"185,367",32.55,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42.08
2023-01-09 18:19:00,2023-01-09 18:57:00,"38,217",7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.55
2023-01-09 08:23:00,2023-01-09 11:22:00,"178,617",20.52,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.04
2023-01-06 18:16:00,2023-01-06 18:45:00,"28,767",24.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.52
2023-01-04 14:59:00,2023-01-04 18:22:00,"202,55",14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,24.12
2023-01-03 14:16:00,2023-01-03 19:14:00,"298,067",46.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,14.62
2022-12-27 14:57:00,2022-12-27 18:29:00,"212,2",17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,46.44
2022-12-27 09:42:00,2022-12-27 10:35:00,"52,717",46.53,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02
2022-12-21 13:13:00,2022-12-21 17:48:00,"275,133",49.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,46.53
2022-12-19 11:12:00,2022-12-19 11:58:00,"45,5",44.59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.82
