datetime;request;value;unit;quality;updated_at;Hour
2024-03-01T00:00:00Z;2024-02-29T20:15:02Z;59,09633394582926;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;0
2024-03-01T01:00:00Z;2024-02-29T20:15:02Z;62,827364629552676;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;1
2024-03-01T02:00:00Z;2024-02-29T20:15:02Z;65,3172587687224;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;2
2024-03-01T03:00:00Z;2024-02-29T20:15:02Z;65,18011468207278;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;3
2024-03-01T04:00:00Z;2024-02-29T20:15:02Z;65,15481241961075;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;4
2024-03-01T05:00:00Z;2024-02-29T20:15:02Z;49,86112995508846;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;5
2024-03-01T06:00:00Z;2024-02-29T20:15:02Z;50,115747907622605;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;6
2024-03-01T07:00:00Z;2024-02-29T20:15:02Z;55,833145919043275;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;7
2024-03-01T08:00:00Z;2024-02-29T20:15:02Z;52,985237647246436;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;8
2024-03-01T09:00:00Z;2024-02-29T20:15:02Z;59,441302230855214;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;9
2024-03-01T10:00:00Z;2024-02-29T20:15:02Z;63,493516332961555;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;10
2024-03-01T11:00:00Z;2024-02-29T20:15:02Z;67,44134638332571;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;11
2024-03-01T12:00:00Z;2024-02-29T20:15:02Z;68,566030822373;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;12
2024-03-01T13:00:00Z;2024-02-29T20:15:02Z;71,81870269896667;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;13
2024-03-01T14:00:00Z;2024-02-29T20:15:02Z;76,36752186490897;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;14
2024-03-01T15:00:00Z;2024-02-29T20:15:02Z;78,34404830310093;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;15
2024-03-01T16:00:00Z;2024-02-29T20:15:02Z;78,76332724883302;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;16
2024-03-01T17:00:00Z;2024-02-29T20:15:02Z;73,22058904198127;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;17
2024-03-01T18:00:00Z;2024-02-29T20:15:02Z;64,0952910246248;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;18
2024-03-01T19:00:00Z;2024-02-29T20:15:02Z;66,72990522727825;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;19
2024-03-01T20:00:00Z;2024-02-29T20:15:02Z;72,27930958390525;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;20
2024-03-01T21:00:00Z;2024-02-29T20:15:02Z;68,50037473830511;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;21
2024-03-01T22:00:00Z;2024-02-29T20:15:02Z;70,72677879384699;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;22
2024-03-01T23:00:00Z;2024-02-29T20:15:02Z;72,44811088190906;gCO₂eq/kWh;0;2024-02-29T20:40:16Z;23
2024-03-02T00:00:00Z;2024-03-01T20:15:02Z;45,390310083347586;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;0
2024-03-02T01:00:00Z;2024-03-01T20:15:02Z;45,46122204301315;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;1
2024-03-02T02:00:00Z;2024-03-01T20:15:02Z;52,012430659622055;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;2
2024-03-02T03:00:00Z;2024-03-01T20:15:02Z;48,946642088640104;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;3
2024-03-02T04:00:00Z;2024-03-01T20:15:02Z;50,45803686570365;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;4
2024-03-02T05:00:00Z;2024-03-01T20:15:02Z;48,06717529244525;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;5
2024-03-02T06:00:00Z;2024-03-01T20:15:02Z;38,895802538319586;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;6
2024-03-02T07:00:00Z;2024-03-01T20:15:02Z;35,75673798487619;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;7
2024-03-02T08:00:00Z;2024-03-01T20:15:02Z;38,330196144678155;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;8
2024-03-02T09:00:00Z;2024-03-01T20:15:02Z;41,55367427128611;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;9
2024-03-02T10:00:00Z;2024-03-01T20:15:02Z;42,76330808178837;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;10
2024-03-02T11:00:00Z;2024-03-01T20:15:02Z;47,94427015621104;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;11
2024-03-02T12:00:00Z;2024-03-01T20:15:02Z;46,42196145788846;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;12
2024-03-02T13:00:00Z;2024-03-01T20:15:02Z;44,583379923591494;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;13
2024-03-02T14:00:00Z;2024-03-01T20:15:02Z;42,99472632571049;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;14
2024-03-02T15:00:00Z;2024-03-01T20:15:02Z;44,248226887085394;gCO₂eq/kWh;0;2024-03-01T20:40:22Z;15
